Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
Champaign County,Urbana,IL,50269,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,4,0.97,,0.05,,59.90,,3,,20.18,,0.00,,17432,,360826,,17881,,6024,,0,,115929,
City of West Covina,West Covina,CA,90293,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,8,DR,Demand Response,PT,4,0.40,,0.01,,78.75,,1,,55.66,,0.00,,2970,,415723,,7469,,5279,,0,,38172,
Schoharie County Public Transportation,Schoharie,NY,20926,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,PT,4,1.15,,0.06,,86.72,,5,,18.38,,0.00,,40205,,641786,,34911,,7401,,0,,133428,
Rural Resources Community Action,Colville,WA,00286,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,CB,Commuter Bus,DO,3,0.53,,0.01,,124.81,,2,,80.72,,0.00,,1630,,246122,,3049,,1972,,0,,48906,
"City of Watertown NY, dba: CitiBus",Watertown,NY,20215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,92674,"Watertown, NY",51832,8,DR,Demand Response,PT,3,2.99,,0.11,,102.75,,4,,28.29,,0.00,,20169,,190901,,6748,,1858,,0,,19201,
Municipality of Cidra,Cidra,PR,40124,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR",1844410,8,DR,Demand Response,DO,3,0.00,,0.00,,32.77,,2,,19.35,,0.00,,0,,49153,,2540,,1500,,0,,31725,
Red Lake Band of the Chippewa,Redlake,MN,55234,Tribe,Reduced Reporter,2022,27,Minnesota Non-UZA,2336986,8,MB,Bus,DO,3,1.12,,0.02,,104.61,,2,,69.73,,0.00,,7590,,474305,,6802,,4534,,0,,70831,
Columbia County,Saint Helens,OR,00375,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,CB,Commuter Bus,PT,3,2.03,,0.04,,190.14,,4,,46.84,,0.00,,23115,,532759,,11375,,2802,,0,,91631,
"City of Coolidge, dba: Cotton Express",Coolidge,AZ,91096,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,2,0.56,,0.03,,66.80,,3,,21.31,,0.00,,3455,,131992,,6195,,1976,,0,,17798,
"City of Baldwin Park, dba: Baldwin Park Transit",Baldwin Park,CA,90251,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,8,DR,Demand Response,PT,2,0.36,,0.01,,76.72,,2,,35.51,,0.00,,2448,,244673,,6891,,3189,,0,,25027,
"City of Michigan , dba: Michigan City Transit",Michigan City,IN,50098,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56656,"Michigan City--La Porte, IN--MI",71367,8,DR,Demand Response,DO,2,1.84,,0.05,,109.59,,3,,34.29,,0.00,,8392,,156384,,4560,,1427,,0,,15090,
"City of Suffolk, dba: Suffolk Transit",Suffolk,VA,30198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,90892,"Virginia Beach--Norfolk, VA",1451578,8,DR,Demand Response,PT,2,2.99,,0.04,,78.65,,1,,72.06,,0.00,,5666,,136699,,1897,,1738,,0,,15108,
Schoharie County Public Transportation,Schoharie,NY,20926,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,PT,2,1.71,,0.04,,90.42,,2,,44.53,,0.00,,5434,,141145,,3170,,1561,,0,,33754,
Madera County,Madera,CA,91005,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,52984,"Madera, CA",78413,8,DR,Demand Response,PT,2,1.90,,0.02,,137.95,,2,,76.88,,0.00,,12802,,517726,,6734,,3753,,0,,51069,
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",Rhinelander,WI,55319,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,8,MB,Bus,DO,2,1.96,,0.03,,62.36,,1,,69.34,,0.00,,4472,,158029,,2279,,2534,,0,,75641,
Houghton Motor Transit Line,Houghton,MI,50386,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,2,2.44,,0.32,,104.11,,14,,7.69,,0.00,,68081,,214573,,27910,,2061,,0,,25636,
"City of Michigan , dba: Michigan City Transit",Michigan City,IN,50098,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56656,"Michigan City--La Porte, IN--MI",71367,8,CB,Commuter Bus,DO,2,0.94,,0.00,,378.47,,1,,577.33,,0.00,,111,,68125,,118,,180,,0,,4275,
Oswego County,Oswego,NY,20942,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,PT,2,0.97,,0.02,,121.49,,2,,62.21,,0.00,,16784,,1078670,,17338,,8879,,0,,153158,
"West's Transportation, Inc.",Milbridge,ME,10177,Private-For-Profit Corporation,Rural Reporter,2022,,,,8,MB,Bus,DO,2,1.91,,0.05,,61.23,,2,,38.57,,0.00,,4861,,98034,,2542,,1601,,0,,36753,
Schoharie County Public Transportation,Schoharie,NY,20926,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,CB,Commuter Bus,PT,2,4.24,,0.17,,87.33,,4,,24.41,,0.00,,29143,,167839,,6877,,1922,,0,,58174,
Jackson County,Sylva,NC,41167,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,2,0.96,,0.03,,60.83,,2,,36.82,,0.00,,3936,,150683,,4092,,2477,,0,,36157,
"City of Longview, dba: City of Longview Transit",Longview,TX,60081,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51256,"Longview, TX",107099,8,DR,Demand Response,DO,2,2.64,,0.08,,50.85,,2,,32.83,,0.00,,9261,,115177,,3508,,2265,,0,,26970,
Municipality of Lares,Lares,PR,40197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,72,Puerto Rico Non-UZA,463143,8,DR,Demand Response,DO,2,0.00,,0.00,,4.46,,0,,16.72,,0.00,,0,,17394,,1040,,3900,,0,,14104,
"Accomack-Northhampton Transportation District Comm, dba: STAR Transit",Tasley,VA,30114,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,1,0.00,,0.00,,46.02,,2,,29.83,,0.00,,0,,154813,,5190,,3364,,0,,65180,
Transylvania County,Brevard,NC,41115,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,1,1.03,,0.02,,21.83,,0,,53.71,,0.00,,1038,,54252,,1010,,2485,,0,,41901,
Transylvania County,Brevard,NC,41115,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,TX,1,0.00,,0.00,,68.24,,3,,22.29,,0.00,,0,,64079,,2875,,939,,0,,18312,
Clinton County,Plattsburgh,NY,20939,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,1,14.17,,0.22,,69.45,,1,,63.53,,0.00,,35404,,158697,,2498,,2285,,0,,59253,
"North Township of Lake County , dba: Dial-A-Ride",Hammond,IN,50103,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,16264,"Chicago, IL--IN",8671746,7,DR,Demand Response,DO,7,0.00,,0.00,,69.04,,1,,56.31,,0.00,,0,,427130,,7585,,6187,,0,,68070,
Catawba Indian Nation,Rock Hill,SC,44907,Tribe,Reduced Reporter,2022,45,South Carolina Non-UZA,2074919,7,DR,Demand Response,DO,7,0.00,,0.00,,42.67,,1,,40.15,,0.00,,0,,348700,,8685,,8172,,0,,202350,
Madison County,Wampsville,NY,20940,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,PT,7,0.32,,0.01,,105.96,,2,,43.49,,0.00,,5197,,699976,,16095,,6606,,0,,145936,
Bowling Green Transit,Bowling Green,OH,50292,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,2.48,,0.12,,110.63,,5,,21.39,,0.00,,72842,,627927,,29355,,5676,,0,,110430,
Liberty County Board of County Commissioners,Bristol,FL,40923,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,12.37,,0.11,,125.92,,1,,111.27,,0.00,,58722,,528102,,4746,,4194,,0,,153939,
Prairie Band Potawatomi Nation,Mayetta,KS,77075,Tribe,Reduced Reporter,2022,20,Kansas Non-UZA,1388420,7,DR,Demand Response,DO,7,1.94,,0.03,,152.56,,2,,71.27,,0.00,,13379,,492313,,6908,,3227,,0,,119684,
"Twin Rivers Developmental Supports, Inc.",Arkansas City,KS,70187,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.96,,0.16,,70.00,,12,,5.92,,0.00,,14413,,89247,,15079,,1275,,0,,23957,
Opportunity Link,Havre,MT,80204,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,MB,Bus,DO,7,0.00,,0.00,,55.15,,5,,10.06,,0.00,,0,,376487,,37408,,6826,,0,,188730,
Levy County Board of County Commissioners,Bronson,FL,41184,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.95,,0.06,,73.90,,2,,30.08,,0.00,,46540,,718679,,23890,,9725,,0,,235101,
Maine State Ferry Service,Augusta,ME,11235,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,FB,Ferryboat,DO,7,14.19,,0.46,,1038.53,,34,,30.64,,0.00,,6084475,,13136428,,428740,,12649,,0,,129022,
City of Murfreesboro,Murfreesboro,TN,40186,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,60733,"Murfreesboro, TN",177313,7,MB,Bus,DO,7,0.50,,0.02,,105.12,,5,,20.51,,0.00,,53942,,2206289,,107549,,20988,,0,,243753,
City of Fort Atkinson,Fort Atkinson,WI,50400,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,PT,7,3.08,,0.33,,31.63,,3,,9.47,,0.00,,97319,,299042,,31570,,9454,,0,,75709,
"Kiowa Tribe, dba: Tribe",Carnegie,OK,66164,Tribe,Reduced Reporter,2022,40,Oklahoma Non-UZA,1994607,7,DR,Demand Response,DO,7,0.00,,0.00,,111.70,,3,,33.25,,0.00,,0,,397880,,11967,,3562,,0,,176208,
Boone County Council on Aging,Belvidere,IL,50194,Private-Non-Profit Corporation,Reduced Reporter,2022,75718,"Rockford, IL",276443,7,DR,Demand Response,DO,7,0.90,,0.04,,42.10,,2,,21.57,,0.00,,24622,,593089,,27495,,14089,,0,,171141,
"Franklin County Senior Services , dba: Franklin County Public Transit",Brookville,IN,50483,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.95,,0.04,,53.76,,2,,24.53,,0.00,,17542,,454716,,18535,,8458,,0,,96898,
Brown County Family Services,,MN,50384,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.00,,0.05,,79.20,,4,,21.17,,0.00,,39963,,849148,,40102,,10721,,0,,157509,
Alleghany County,Sparta,NC,41137,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.13,,0.03,,53.84,,1,,36.24,,0.00,,12087,,387973,,10706,,7206,,0,,174704,
"Town of Avon, dba: Avon Transit",Avon,CO,88228,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,7,0.00,,0.00,,116.33,,37,,3.18,,0.00,,0,,1461179,,459769,,12561,,0,,175864,
Martin County,Williamston,NC,40990,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.65,,0.02,,49.90,,1,,36.11,,0.00,,11875,,657264,,18204,,13172,,0,,208292,
Vermont Agency of Transportation,Barre,VT,11246,State Government Unit or Department of Transportation,Reduced Reporter,2022,11755,"Burlington, VT",118032,7,VP,Vanpool,PT,7,4.30,,0.54,,36.98,,5,,7.92,,0.00,,45337,,83503,,10549,,2258,,0,,71962,
Shoshone-Bannock Tribes,Fort Hall,ID,00031,Tribe,Reduced Reporter,2022,16,Idaho Non-UZA,836252,7,MB,Bus,DO,7,0.00,,0.00,,55.39,,1,,41.37,,0.00,,0,,885082,,21393,,15978,,0,,245420,
Bienville Council on Aging,Arcadia,LA,60251,Area Agency on Aging,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,2.46,,0.04,,43.93,,1,,63.09,,0.00,,16255,,416730,,6605,,9487,,0,,154060,
Pike Area Transit System,Troy,AL,41129,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.32,,0.05,,63.76,,3,,24.92,,0.00,,32582,,613911,,24633,,9628,,0,,227441,
Citizen Potawatomi Nation,Shawnee,OK,60004,Tribe,Reduced Reporter,2022,40,Oklahoma Non-UZA,1994607,7,DR,Demand Response,DO,7,0.00,,0.00,,67.68,,1,,46.34,,0.00,,0,,449437,,9699,,6641,,0,,87645,
Iberville Sheriff's Office,Plaquemine,LA,66267,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.00,,0.00,,52.56,,1,,86.53,,0.00,,0,,772390,,8926,,14694,,0,,188320,
Greenville Transit System,Greenville,OH,50415,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.76,,0.09,,66.85,,3,,19.49,,0.00,,77415,,858780,,44063,,12847,,0,,140841,
"Neighbor to Neighbor Volunteers, dba: The Chaffee Shuttle",Salida,CO,80237,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,3.76,,0.11,,84.82,,2,,34.31,,0.00,,50721,,463349,,13504,,5463,,0,,159343,
City of Lauderhill,Lauderhill,FL,40254,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,7,MB,Bus,PT,7,0.00,,0.00,,49.75,,14,,3.68,,0.00,,0,,976873,,265301,,19635,,0,,181269,
Omaha Tribe Public Transit,Macy,NE,77077,Tribe,Reduced Reporter,2022,31,Nebraska Non-UZA,846992,7,DR,Demand Response,DO,7,0.72,,0.01,,77.78,,1,,69.48,,0.00,,7827,,759799,,10936,,9769,,0,,351621,
Jefferson County Transit,Louisville,GA,40977,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,2.04,,0.12,,27.76,,2,,17.61,,0.00,,50747,,438860,,24919,,15807,,0,,227379,
"Glen-wood, Inc.",Plentywood,MT,80254,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.30,,0.03,,53.02,,4,,11.79,,0.00,,8330,,324421,,27506,,6119,,0,,81015,
Dooly County Transit,Vienna,GA,41017,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,PT,7,1.10,,0.03,,58.46,,1,,39.61,,0.00,,15751,,566181,,14295,,9685,,0,,237825,
East Feliciana Council on Aging,Clinton,LA,60180,Area Agency on Aging,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.70,,0.02,,41.56,,1,,34.67,,0.00,,6426,,316902,,9140,,7626,,0,,127572,
Interurban Transit Authority,Douglas,MI,50495,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.88,,0.05,,78.91,,5,,17.46,,0.00,,51555,,1024047,,58665,,12978,,0,,160415,
Greene County,Snow Hill,NC,41031,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.00,,0.00,,34.99,,2,,22.10,,0.00,,0,,381765,,17275,,10910,,0,,168986,
Cowlitz Indian Tribe,Longview,WA,00127,Tribe,Reduced Reporter,2022,53,Washington Non-UZA,1895776,7,DR,Demand Response,DO,7,0.00,,0.00,,155.48,,1,,112.14,,0.00,,0,,695947,,6206,,4476,,0,,142072,
Humanitarian Enterprises of Lincoln Parish,Ruston,LA,60229,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.70,,0.02,,60.79,,1,,40.81,,0.00,,8187,,475999,,11664,,7830,,0,,156699,
Burke County Transit,Waynesboro,GA,40951,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.86,,0.06,,51.94,,2,,32.68,,0.00,,23734,,416993,,12758,,8029,,0,,125744,
"Scott County Transit System, Inc.",Sikeston,MO,70168,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.00,,0.00,,63.03,,3,,22.80,,0.00,,0,,381850,,16745,,6058,,0,,95446,
City of Pembroke Pines,Pembroke Pines,FL,40251,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,7,MB,Bus,PT,7,0.00,,0.00,,43.69,,7,,6.12,,0.00,,0,,850268,,139018,,19461,,0,,225002,
Dade County Transit,Trenton,GA,41007,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.38,,0.01,,57.81,,1,,42.50,,0.00,,3279,,362880,,8539,,6277,,0,,94352,
"Paul Philippe Resource Center  , dba: Clinton County Transit",Frankfort,IN,50499,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.60,,0.04,,54.80,,3,,16.46,,0.00,,19517,,536189,,32583,,9785,,0,,94876,
Hancock County Transit,Sparta,GA,41062,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.76,,0.04,,42.14,,1,,42.83,,0.00,,16133,,393712,,9192,,9343,,0,,179546,
"City of South Portland, dba: South Portland Bus Service",South Portland,ME,10112,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,71263,"Portland, ME",205356,7,MB,Bus,DO,7,1.10,,0.11,,86.95,,9,,9.62,,0.00,,165414,,1449939,,150653,,16676,,0,,196401,
Phillips Transit Authority,Malta,MT,80224,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.96,,0.06,,72.22,,5,,15.50,,0.00,,14652,,237458,,15321,,3288,,0,,36376,
Nemaha County Transit,Seneca,KS,70213,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,3.56,,0.16,,100.29,,5,,22.20,,0.00,,67124,,418626,,18860,,4174,,0,,81497,
"DeKalb County Council on Aging , dba: Dekalb Area Rural Transit",Auburn,IN,50330,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,3.10,,0.09,,61.67,,2,,36.15,,0.00,,56257,,655047,,18119,,10622,,0,,158656,
Paulding County,Dallas,GA,41190,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.00,,0.00,,39.39,,2,,23.04,,0.00,,0,,288590,,12527,,7326,,0,,126464,
SNTC - Boulder City,Laughlin,NV,91100,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.76,,0.03,,160.64,,3,,58.40,,0.00,,27553,,914855,,15665,,5695,,0,,51313,
Logan County,Lincoln,IL,50411,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.00,,0.00,,68.28,,3,,25.78,,0.00,,35,,288155,,11176,,4220,,0,,101413,
Municipality of Jayuya,Jayuya,PR,44941,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,7,0.00,,0.00,,84.88,,1,,87.59,,0.00,,0,,84965,,970,,1001,,0,,27501,
Kenaitze Indian Tribe,Kenai,AK,00419,Tribe,Reduced Reporter,2022,2,Alaska Non-UZA,359299,7,DR,Demand Response,DO,7,0.00,,0.00,,122.66,,2,,71.88,,0.00,,0,,389065,,5413,,3172,,0,,48998,
"Solomon Valley Transportation, Inc.",Beloit,KS,70255,Private-Non-Profit Corporation,Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,1.75,,0.04,,60.99,,1,,42.34,,0.00,,12123,,293720,,6938,,4816,,0,,162712,
"Porter County Aging and Community Services, Inc.",Valparaiso,IN,50179,Private-Non-Profit Corporation,Reduced Reporter,2022,16264,"Chicago, IL--IN",8671746,7,DR,Demand Response,DO,7,0.31,,0.01,,71.87,,1,,55.45,,0.00,,4312,,761766,,13737,,10599,,0,,148545,
Newburgh Beacon Bus Corporation,New Windsor,NY,20148,Private Provider Reporting on Behalf of a Public Entity,Reduced Reporter,2022,71803,"Poughkeepsie--Newburgh, NY",314766,7,MB,Bus,DO,7,1.39,,0.08,,113.96,,6,,17.89,,0.00,,180494,,2325882,,130024,,20410,,0,,285478,
"City of Coralville, dba: Coralville Transit System",Coralville,IA,70030,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,41590,"Iowa City, IA",126810,7,MB,Bus,DO,7,0.82,,0.14,,97.72,,16,,6.01,,1.83,,220579,,1610077,,268006,,16476,,881235,,196951,
"Butler, County of, dba: Butler County Department on Aging",El Dorado,KS,70056,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,95077,"Wichita, KS",500231,7,DR,Demand Response,DO,7,0.47,,0.04,,36.45,,3,,11.47,,0.00,,9271,,228233,,19891,,6261,,0,,66219,
St Mary Community Action Committee Assoc,Franklin,LA,60199,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,7,0.74,,0.01,,110.64,,2,,71.24,,0.00,,2761,,264099,,3707,,2387,,0,,72097,
"SeaStreak, LLC",Atlantic Highlands,NJ,20226,Private-For-Profit Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,7,FB,Ferryboat,DO,7,22.10,,0.77,,1793.99,,62,,28.75,,1.44,,16584600,,21572770,,750392,,12025,,14995496,,143935,
"Town of Clarkstown , dba: Mini Trans",New City,NY,20085,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,7,MB,Bus,DO,7,0.47,,0.02,,130.08,,6,,22.75,,0.00,,30226,,1463134,,64321,,11248,,0,,205108,
YWCA Madison Inc.,Madison,WI,50524,Private-Non-Profit Corporation,Reduced Reporter,2022,53200,"Madison, WI",450305,7,DR,Demand Response,DO,7,6.50,,0.14,,67.56,,1,,46.01,,0.00,,112483,,795836,,17298,,11780,,0,,184450,
"Toole County, dba: Northern Transit Interlocal",Shelby,MT,80169,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,7,0.23,,0.01,,93.69,,4,,23.13,,0.00,,3519,,354711,,15335,,3786,,0,,139721,
"City of Cripple Creek, dba: Cripple Creek Transit",Cripple Creek,CO,80275,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,6,0.00,,0.00,,152.67,,6,,27.15,,0.00,,0,,310693,,11444,,2035,,0,,27128,
Cherokee County,Murphy,NC,41069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,6,0.71,,0.03,,51.60,,2,,25.56,,0.00,,14671,,531096,,20779,,10293,,0,,206836,
City of Manitowoc,Manitowoc,WI,50461,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,6,0.59,,0.08,,72.89,,10,,7.14,,0.00,,131631,,1587487,,222459,,21778,,0,,361028,
Schuyler County,Watkins Glen,NY,20945,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,PT,6,0.57,,0.01,,58.37,,1,,44.07,,0.00,,9380,,727187,,16501,,12459,,0,,264162,
Big Rapids Dial-A-Ride,Big Rapids,MI,50437,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,DO,6,1.25,,0.13,,60.90,,6,,9.50,,0.00,,79674,,603478,,63512,,9910,,0,,117431,
City of Cottage Grove,Cottage Grove,OR,00290,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,DR,Demand Response,PT,6,2.84,,0.04,,125.96,,2,,64.39,,0.00,,39512,,895212,,13903,,7107,,0,,74636,
Municipality of San Sebastian,San Sebastian,PR,40183,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,631,"Aguadilla--Isabela--San Sebastián, PR",232573,7,DR,Demand Response,DO,6,0.00,,0.00,,19.06,,1,,21.37,,0.00,,0,,100927,,4723,,5295,,0,,76190,
"Coeur d'Alene Tribe, dba: Citylink Transit",Plummer,ID,00053,Tribe,Reduced Reporter,2022,18451,"Coeur d'Alene, ID",121831,7,MB,Bus,DO,5,0.00,,0.00,,78.47,,7,,11.04,,0.00,,0,,1876460,,170010,,23912,,0,,604596,
"City Of Burlington, dba: Link Transit",Burlington,NC,40252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,11728,"Burlington, NC",145311,7,MB,Bus,PT,5,0.00,,0.00,,113.06,,6,,18.83,,0.00,,0,,1909857,,101401,,16892,,0,,202963,
"City of Sierra Vista, dba: Vista Transit",Sierra Vista,AZ,90239,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,81901,"Sierra Vista, AZ",54274,7,MB,Bus,DO,5,0.69,,0.07,,72.97,,7,,10.30,,0.00,,45488,,675748,,65613,,9261,,0,,96344,
City of Roswell,Roswell,NM,60167,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,5,0.58,,0.03,,74.24,,3,,22.13,,0.00,,37141,,1419468,,64136,,19120,,0,,229427,
"City of Marion , dba: Marion Transit System",Marion,IN,50485,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,7,MB,Bus,DO,5,0.00,,0.00,,99.62,,9,,11.14,,0.00,,0,,1205355,,108199,,12100,,0,,159465,
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta",Vega Alta,PR,40199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR",1844410,7,MB,Bus,DO,5,0.00,,0.00,,38.85,,5,,7.46,,0.00,,0,,138225,,18527,,3558,,0,,38037,
"Tri-County CAP, Inc./North Country Transit",Berlin,NH,10172,Private-Non-Profit Corporation,Rural Reporter,2022,33,New Hampshire Non-UZA,768345,7,DR,Demand Response,DO,5,3.93,,0.15,,38.52,,1,,27.08,,0.00,,81683,,562616,,20779,,14607,,0,,162220,
